Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-21,56471.12890625,56757.97265625,53695.46875,53906.08984375,54926612466,0,0
2021-04-22,53857.10546875,55410.23046875,50583.8125,51762.2734375,74798630778,0,0
2021-04-23,51739.80859375,52120.79296875,47714.6640625,51093.65234375,86668667320,0,0
2021-04-24,51143.2265625,51167.5625,48805.28515625,50050.8671875,49014494781,0,0
2021-04-25,50052.83203125,50506.01953125,47159.484375,49004.25390625,46117114240,0,0
2021-04-26,49077.79296875,54288.00390625,48852.796875,54021.75390625,58284039825,0,0
2021-04-27,54030.3046875,55416.96484375,53319.1875,55033.1171875,49448222757,0,0
2021-04-28,55036.63671875,56227.20703125,53887.91796875,54824.703125,48000572955,0,0
2021-04-29,54858.08984375,55115.84375,52418.02734375,53555.109375,46088929780,0,0
2021-04-30,53568.6640625,57900.71875,53129.6015625,57750.17578125,52395931985,0,0
2021-05-01,57714.6640625,58448.33984375,57052.2734375,57828.05078125,42836427360,0,0
2021-05-02,57825.86328125,57902.59375,56141.90625,56631.078125,38177405335,0,0
2021-05-03,56620.2734375,58973.30859375,56590.87109375,57200.29296875,51713139031,0,0
2021-05-04,57214.1796875,57214.1796875,53191.42578125,53333.5390625,68564706967,0,0
2021-05-05,53252.1640625,57911.36328125,52969.0546875,57424.0078125,69241316747,0,0
2021-05-06,57441.30859375,58363.31640625,55382.5078125,56396.515625,69523285106,0,0
2021-05-07,56413.953125,58606.6328125,55321.84765625,57356.40234375,68434023376,0,0
2021-05-08,57352.765625,59464.61328125,56975.2109375,58803.77734375,65382980634,0,0
2021-05-09,58877.390625,59210.8828125,56482.00390625,58232.31640625,65906690347,0,0
2021-05-10,58250.87109375,59519.35546875,54071.45703125,55859.796875,71776546298,0,0
2021-05-11,55847.2421875,56872.54296875,54608.65234375,56704.57421875,61308396325,0,0
2021-05-12,56714.53125,57939.36328125,49150.53515625,49150.53515625,75215403907,0,0
2021-05-13,49735.43359375,51330.84375,46980.01953125,49716.19140625,96721152926,0,0
2021-05-14,49682.98046875,51438.1171875,48868.578125,49880.53515625,55737497453,0,0
2021-05-15,49855.49609375,50639.6640625,46664.140625,46760.1875,59161047474,0,0
2021-05-16,46716.63671875,49720.04296875,43963.3515625,46456.05859375,64047871555,0,0
2021-05-17,46415.8984375,46623.55859375,42207.2890625,43537.51171875,74903638450,0,0
2021-05-18,43488.05859375,45812.45703125,42367.83203125,42909.40234375,56187365084,0,0
2021-05-19,42944.9765625,43546.1171875,30681.49609375,37002.44140625,126358098747,0,0
2021-05-20,36753.66796875,42462.984375,35050.6171875,40782.73828125,88281943359,0,0
2021-05-21,40596.94921875,42172.171875,33616.453125,37304.69140625,82051616861,0,0
2021-05-22,37371.03125,38831.0546875,35383.68359375,37536.6328125,57377273240,0,0
2021-05-23,37531.44921875,38289.21875,31227.33984375,34770.58203125,78469274361,0,0
2021-05-24,34700.36328125,39835.140625,34551.08203125,38705.98046875,67359584098,0,0
2021-05-25,38795.78125,39776.3515625,36581.4296875,38402.22265625,56211915803,0,0
2021-05-26,38392.625,40782.078125,37905.8359375,39294.19921875,51346735160,0,0
2021-05-27,39316.890625,40379.6171875,37247.90234375,38436.96875,43210968721,0,0
2021-05-28,38507.08203125,38856.96875,34779.0390625,35697.60546875,55200191952,0,0
2021-05-29,35684.15625,37234.5,33693.9296875,34616.06640625,45231013335,0,0
2021-05-30,34607.40625,36400.66796875,33520.73828125,35678.12890625,31646080921,0,0
2021-05-31,35658.59375,37468.25,34241.9453125,37332.85546875,39009847639,0,0
2021-06-01,37293.79296875,37896.734375,35787.0859375,36684.92578125,34639423297,0,0
2021-06-02,36699.921875,38231.33984375,35966.30859375,37575.1796875,33070867190,0,0
2021-06-03,37599.41015625,39478.953125,37243.97265625,39208.765625,35460750427,0,0
2021-06-04,39242.484375,39242.484375,35717.72265625,36894.40625,41831090187,0,0
2021-06-05,36880.15625,37917.71484375,34900.4140625,35551.95703125,35959473399,0,0
2021-06-06,35538.609375,36436.421875,35304.578125,35862.37890625,28913440585,0,0
2021-06-07,35835.265625,36790.5703125,33480.640625,33560.70703125,33683936663,0,0
2021-06-08,33589.51953125,34017.38671875,31114.443359375,33472.6328125,49902050442,0,0
2021-06-09,33416.9765625,37537.37109375,32475.865234375,37345.12109375,53972919008,0,0
2021-06-10,37389.515625,38334.32421875,35847.59375,36702.59765625,43576032854,0,0
2021-06-11,36697.03125,37608.6953125,36044.44921875,37334.3984375,38699736985,0,0
2021-06-12,37340.14453125,37408.92578125,34728.19140625,35552.515625,37924228550,0,0
2021-06-13,35555.7890625,39322.78125,34864.109375,39097.859375,40669112838,0,0
2021-06-14,39016.96875,40978.36328125,38757.28515625,40218.4765625,43148914673,0,0
2021-06-15,40427.16796875,41295.26953125,39609.46875,40406.26953125,46420149185,0,0
2021-06-16,40168.69140625,40516.77734375,38176.03515625,38347.0625,39211635100,0,0
2021-06-17,38341.421875,39513.671875,37439.67578125,38053.50390625,37096670047,0,0
2021-06-18,38099.4765625,38187.26171875,35255.85546875,35787.24609375,36200887275,0,0
2021-06-19,35854.52734375,36457.796875,34933.0625,35615.87109375,31207279719,0,0
2021-06-20,35563.140625,36059.484375,33432.07421875,35698.296875,36664034054,0,0
2021-06-21,35641.14453125,35721.640625,31295.935546875,31676.693359375,52809038594,0,0
2021-06-22,31622.376953125,33292.453125,28893.62109375,32505.66015625,58964353058,0,0
2021-06-23,32515.71484375,34753.41015625,31772.6328125,33723.02734375,46317108925,0,0
2021-06-24,33682.80078125,35228.8515625,32385.21484375,34662.4375,33123368116,0,0
2021-06-25,34659.10546875,35487.24609375,31350.884765625,31637.779296875,40230904226,0,0
2021-06-26,31594.6640625,32637.587890625,30184.501953125,32186.27734375,38585385521,0,0
2021-06-27,32287.5234375,34656.12890625,32071.7578125,34649.64453125,35511640894,0,0
2021-06-28,34679.12109375,35219.890625,33902.07421875,34434.3359375,33892523752,0,0
2021-06-29,34475.55859375,36542.109375,34252.484375,35867.77734375,37901460044,0,0
2021-06-30,35908.38671875,36074.7578125,34086.15234375,35040.8359375,34059036099,0,0
2021-07-01,35035.984375,35035.984375,32883.78125,33572.1171875,37838957079,0,0
